CART;feature_name
5.5;Unnamed: 0
26.5;EPA Fuel Economy Est - City (MPG)
26.5;Engine
26.5;Drivetrain
12.5;Passenger Capacity
26.5;Passenger Doors
5.5;Wheelbase (in)
5.5;SAE Net Torque @ RPM
26.5;Fuel System
1.0;SAE Net Horsepower @ RPM
3.0;Displacement
26.5;Trans Description Cont.
26.5;Trans Type
26.5;Air Bag-Side Head-Front
26.5;Air Bag-Side Head-Rear
26.5;Child Safety Rear Door Locks
26.5;Daytime Running Lights
12.5;Traction Control
26.5;Night Vision
26.5;Rollover Protection Bars
2.0;Basic Miles/km
12.5;Basic Years
26.5;Corrosion Miles/km
26.5;Corrosion Years
12.5;Drivetrain Miles/km
26.5;Drivetrain Years
12.5;Turning Diameter - Curb to Curb (ft)
12.5;Front Wheel Material
26.5;Roadside Assistance Miles/km
5.5;Manufacturer
12.5;Model year
26.5;Category
12.5;Front tire width
12.5;Front tire aspect ratio
12.5;Front tire rim size
